0.212207, 0, 0, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
-nan(ind), -nan(ind), -nan(ind), 0.212207, 0, 0, 
nan, nan, nan, 0.212207, 0, 0, 
