0, 0, 0, 0, 0.00222222, 0, 0, 0.00444444, 0, 0, 0.00666667, 0, 0, 0.00888889, 0, 0, 0.0111111, 0, 0, 0.0133333, 0, 0, 0.0155556, 0, 0, 0.0177778, 0, 0, 0.02, 0, 
0.00111273, -6.64263e-09, -2.25581e-23, 0.00111284, 0.00222222, -3.62131e-23, 0.00111295, 0.00444444, -6.21029e-23, 0.00111303, 0.00666666, -6.98962e-23, 0.00111309, 0.00888888, -6.93388e-23, 0.0011131, 0.0111111, -5.29307e-23, 0.00111308, 0.0133333, -1.22572e-23, 0.00111303, 0.0155555, 4.03402e-23, 0.00111296, 0.0177778, 1.02981e-22, 0.00111288, 0.02, 1.70484e-22, 
0.00396368, -8.07699e-08, -4.61342e-23, 0.00396389, 0.00222214, -1.28268e-22, 0.00396409, 0.00444436, -1.97176e-22, 0.00396425, 0.00666659, -2.44774e-22, 0.00396436, 0.00888881, -2.58697e-22, 0.00396441, 0.011111, -2.57124e-22, 0.0039644, 0.0133333, -2.18348e-22, 0.00396435, 0.0155555, -1.56954e-22, 0.00396426, 0.0177777, -6.77998e-23, 0.00396415, 0.0199999, 2.05782e-23, 
0.00800371, -3.15857e-07, 2.45409e-22, 0.00800401, 0.00222191, -3.1658e-23, 0.00800428, 0.00444413, -2.64335e-22, 0.00800451, 0.00666635, -4.58909e-22, 0.00800468, 0.00888857, -5.80035e-22, 0.00800477, 0.0111108, -6.19076e-22, 0.00800479, 0.013333, -5.54841e-22, 0.00800474, 0.0155552, -4.57942e-22, 0.00800464, 0.0177775, -3.15298e-22, 0.00800453, 0.0199997, -1.37673e-22, 
0.0128572, -7.81882e-07, 9.28763e-22, 0.0128576, 0.00222144, 5.7209e-22, 0.0128579, 0.00444366, 2.40489e-22, 0.0128582, 0.00666588, -3.63055e-23, 0.0128584, 0.00888811, -2.58833e-22, 0.0128585, 0.0111103, -3.74493e-22, 0.0128586, 0.0133326, -3.75122e-22, 0.0128585, 0.0155548, -2.4824e-22, 0.0128584, 0.017777, -4.81556e-23, 0.0128583, 0.0199992, 1.44603e-22, 
0.0182671, -1.51404e-06, 1.09202e-22, 0.0182675, 0.00222071, -1.34444e-22, 0.0182679, 0.00444293, -3.11558e-22, 0.0182683, 0.00666515, -5.09285e-22, 0.0182685, 0.00888737, -6.18675e-22, 0.0182687, 0.0111096, -7.42703e-22, 0.0182687, 0.0133318, -8.28688e-22, 0.0182687, 0.015554, -9.20287e-22, 0.0182686, 0.0177763, -9.4733e-22, 0.0182685, 0.0199985, -9.765e-22, 
0.0240577, -2.51906e-06, 3.00333e-22, 0.0240582, 0.0022197, -2.57148e-22, 0.0240586, 0.00444193, -7.21164e-22, 0.024059, 0.00666415, -1.17661e-21, 0.0240593, 0.00888637, -1.54196e-21, 0.0240595, 0.0111086, -1.74499e-21, 0.0240595, 0.0133308, -1.85444e-21, 0.0240595, 0.015553, -1.79469e-21, 0.0240595, 0.0177753, -1.69683e-21, 0.0240594, 0.0199975, -1.59043e-21, 
0.0301088, -3.78485e-06, -7.10673e-22, 0.0301092, 0.00221844, -1.23416e-21, 0.0301097, 0.00444066, -1.70907e-21, 0.0301101, 0.00666288, -2.20435e-21, 0.0301104, 0.0088851, -2.60963e-21, 0.0301106, 0.0111073, -2.98716e-21, 0.0301107, 0.0133295, -3.38499e-21, 0.0301107, 0.0155518, -3.78417e-21, 0.0301107, 0.017774, -4.15464e-21, 0.0301106, 0.0199962, -4.50759e-21, 
0.0363379, -5.28866e-06, -1.38313e-21, 0.0363384, 0.00221693, -2.02451e-21, 0.0363389, 0.00443916, -2.67234e-21, 0.0363393, 0.00666138, -3.37201e-21, 0.0363396, 0.0088836, -4.05212e-21, 0.0363399, 0.0111058, -4.80535e-21, 0.03634, 0.013328, -5.54345e-21, 0.03634, 0.0155503, -6.29712e-21, 0.0363399, 0.0177725, -7.07817e-21, 0.0363399, 0.0199947, -7.90163e-21, 
0.042689, -7.00298e-06, -1.73191e-21, 0.0426895, 0.00221522, -2.22355e-21, 0.04269, 0.00443744, -2.73699e-21, 0.0426904, 0.00665966, -3.30142e-21, 0.0426907, 0.00888189, -3.94075e-21, 0.042691, 0.0111041, -4.7985e-21, 0.0426911, 0.0133263, -5.87625e-21, 0.0426911, 0.0155486, -7.05085e-21, 0.0426911, 0.0177708, -8.3163e-21, 0.042691, 0.019993, -9.49032e-21, 
